"id","altura","genero","contextura_madre","altura_madre"
1,175.5,"M","mediana",159.3
2,166.8,"M","bajita",155.2
3,175,"M","mediana",158.4
4,171.2,"M","mediana",159.8
5,174,"M","mediana",159.9
6,156.2,"F","bajita",155.4
7,177.1,"M","mediana",159.3
8,167.9,"F","alta",163.8
9,168.2,"M","bajita",154.8
10,175.4,"M","mediana",158.7
11,155,"F","bajita",153.4
12,159.5,"F","mediana",161.8
13,162.9,"F","mediana",159.7
14,174.2,"M","mediana",159.1
15,171.3,"M","mediana",156.6
16,174.6,"M","mediana",160.9
17,151.7,"F","mediana",157.7
18,176.2,"M","mediana",161.9
19,171.5,"M","mediana",157.6
20,171.6,"M","mediana",159.5
21,170.5,"M","bajita",153.4
22,175.8,"M","mediana",161.2
23,160.3,"F","mediana",160.8
24,161.3,"F","mediana",159.8
25,172.4,"M","mediana",160.5
26,172.5,"M","mediana",157.7
27,171.2,"M","bajita",155.6
28,169.2,"M","bajita",155.3
29,172.2,"M","mediana",162
30,154.3,"F","mediana",156
31,159.1,"F","mediana",159.3
32,162.9,"F","alta",165.4
33,171.8,"M","mediana",157.2
34,169.7,"M","mediana",161.4
35,167.7,"M","mediana",158.3
36,163.3,"F","mediana",161.4
37,172.1,"M","mediana",160.6
38,174.2,"M","mediana",157.4
39,161.1,"F","mediana",162
40,156.9,"F","mediana",160.6
41,177.7,"M","mediana",160.7
42,159,"F","alta",163.4
43,163.2,"F","alta",162.8
44,159.6,"F","mediana",158.7
45,163.1,"F","alta",162.8
46,168.6,"M","mediana",157.4
47,164.5,"F","mediana",160.6
48,164.2,"F","alta",165.5
49,159.4,"F","mediana",159.5
50,174.7,"M","mediana",160.7
51,170.1,"M","mediana",157.3
52,173.8,"M","mediana",160.4
53,171.1,"M","mediana",157.5
54,161.8,"F","alta",162.2
55,170.4,"M","mediana",158.3
56,160.1,"F","mediana",160.8
57,170.8,"M","mediana",159.5
58,160.3,"F","alta",162.4
59,170.4,"M","mediana",159
60,160.1,"F","mediana",160.3
61,173.4,"M","alta",162.2
62,157.3,"F","mediana",158.5
63,164.5,"F","alta",162.4
64,173.5,"M","mediana",156.5
65,173.2,"M","mediana",157.4
66,161.3,"F","mediana",160.7
67,170.9,"M","mediana",161.3
68,160.5,"F","mediana",160.9
69,163.7,"F","mediana",161.5
70,159,"F","mediana",157.9
71,160,"F","mediana",158.4
72,157.5,"F","alta",162.5
73,171,"M","mediana",161.6
74,160.6,"F","mediana",161
75,170.4,"M","mediana",160.1
76,160.3,"F","mediana",160.8
77,179.6,"M","mediana",157.9
78,174.2,"M","alta",162.1
79,177.5,"M","mediana",161
80,173.1,"M","mediana",160.1
81,169.7,"M","bajita",153.6
82,158,"F","mediana",159.7
83,177.2,"M","alta",165.7
84,162.3,"F","mediana",156.7
85,174.5,"M","mediana",159.7
86,161.6,"F","mediana",160.1
87,173.8,"M","alta",162.2
88,172,"M","bajita",154.6
89,162.8,"F","mediana",160.2
90,176.2,"M","mediana",156.4
91,160.8,"F","alta",164.6
92,153.8,"F","mediana",156.4
93,159.4,"F","mediana",158.8
94,156.4,"F","mediana",159.9
95,162.3,"F","alta",162.1
96,174.5,"M","mediana",159.9
97,160.4,"F","mediana",158.6
98,156.9,"F","mediana",157.4
99,161.6,"F","mediana",159
100,160.1,"F","mediana",160
101,170,"M","mediana",160
102,157.2,"F","mediana",157.9
103,157.1,"F","mediana",157.6
104,165,"M","bajita",152.1
105,159.4,"F","alta",164.9
106,168.4,"M","bajita",154.8
107,174.6,"M","mediana",159.1
108,160.8,"F","alta",164.2
109,159.8,"F","mediana",161.8
110,158.5,"F","bajita",155.6
111,157,"F","mediana",156.5
112,158,"F","mediana",161.5
113,167.8,"M","bajita",154.7
